#,Date Heure(GMT+01:00),Température1(°C),Température2(°C),Température3(°C),Température4(°C)
303,05/21/17 03:45:00 PM,285.34499999999997,285.44199999999995,285.51399999999995,285.41799999999995
304,05/21/17 04:00:00 PM,285.36899999999997,285.44199999999995,285.51399999999995,285.41799999999995
305,05/21/17 04:15:00 PM,285.393,285.46599999999995,285.51399999999995,285.393
306,05/21/17 04:30:00 PM,285.393,285.46599999999995,285.51399999999995,285.41799999999995
307,05/21/17 04:45:00 PM,285.41799999999995,285.46599999999995,285.51399999999995,285.393
308,05/21/17 05:00:00 PM,285.44199999999995,285.46599999999995,285.51399999999995,285.393
309,05/21/17 05:15:00 PM,285.46599999999995,285.46599999999995,285.51399999999995,285.393
310,05/21/17 05:30:00 PM,285.51399999999995,285.48999999999995,285.51399999999995,285.393
311,05/21/17 05:45:00 PM,285.539,285.48999999999995,285.51399999999995,285.393
312,05/21/17 06:00:00 PM,285.563,285.51399999999995,285.51399999999995,285.51399999999995
313,05/21/17 06:15:00 PM,285.587,285.51399999999995,285.51399999999995,285.563
314,05/21/17 06:30:00 PM,285.611,285.51399999999995,285.51399999999995,285.587
315,05/21/17 06:45:00 PM,285.635,285.539,285.51399999999995,286.888
316,05/21/17 07:00:00 PM,285.68399999999997,285.539,285.51399999999995,287.104
317,05/21/17 07:15:00 PM,285.70799999999997,285.563,285.51399999999995,287.128
318,05/21/17 07:30:00 PM,285.73199999999997,285.563,285.51399999999995,287.152
319,05/21/17 07:45:00 PM,285.756,285.587,285.51399999999995,287.176
320,05/21/17 08:00:00 PM,285.804,285.611,285.539,287.2
321,05/21/17 08:15:00 PM,285.828,285.611,285.539,287.272
322,05/21/17 08:30:00 PM,285.85299999999995,285.635,285.539,287.248
323,05/21/17 08:45:00 PM,285.90099999999995,285.659,285.539,287.272
324,05/21/17 09:00:00 PM,285.94899999999996,285.659,285.563,287.272
325,05/21/17 09:15:00 PM,285.97299999999996,285.68399999999997,285.563,287.296
326,05/21/17 09:30:00 PM,285.99699999999996,285.70799999999997,285.563,287.272
327,05/21/17 09:45:00 PM,286.02099999999996,285.70799999999997,285.563,287.248
328,05/21/17 10:00:00 PM,286.046,285.73199999999997,285.587,287.224
329,05/21/17 10:15:00 PM,286.046,285.756,285.587,287.224
330,05/21/17 10:30:00 PM,286.07,285.756,285.611,287.176
331,05/21/17 10:45:00 PM,286.094,285.78,285.611,287.152
332,05/21/17 11:00:00 PM,286.094,285.804,285.611,287.152
333,05/21/17 11:15:00 PM,286.118,285.804,285.635,287.176
334,05/21/17 11:30:00 PM,286.118,285.828,285.635,287.176
335,05/21/17 11:45:00 PM,286.142,285.828,285.635,287.176
336,05/22/17 12:00:00 AM,286.142,285.85299999999995,285.659,287.2
337,05/22/17 12:15:00 AM,286.142,285.87699999999995,285.659,287.2
338,05/22/17 12:30:00 AM,286.142,285.87699999999995,285.68399999999997,287.224
339,05/22/17 12:45:00 AM,286.142,285.87699999999995,285.68399999999997,287.2
340,05/22/17 01:00:00 AM,286.142,285.90099999999995,285.68399999999997,286.262
341,05/22/17 01:15:00 AM,286.142,285.92499999999995,285.70799999999997,286.238
342,05/22/17 01:30:00 AM,286.142,285.92499999999995,285.70799999999997,286.238
343,05/22/17 01:45:00 AM,286.142,285.92499999999995,285.70799999999997,286.166
344,05/22/17 02:00:00 AM,286.142,285.92499999999995,285.70799999999997,286.142
345,05/22/17 02:15:00 AM,286.118,285.92499999999995,285.70799999999997,286.142
346,05/22/17 02:30:00 AM,286.118,285.92499999999995,285.73199999999997,286.142
347,05/22/17 02:45:00 AM,286.118,285.94899999999996,285.73199999999997,286.142
348,05/22/17 03:00:00 AM,286.094,285.94899999999996,285.73199999999997,286.094
349,05/22/17 03:15:00 AM,286.094,285.94899999999996,285.73199999999997,286.094
350,05/22/17 03:30:00 AM,286.07,285.94899999999996,285.73199999999997,286.094
351,05/22/17 03:45:00 AM,286.07,285.94899999999996,285.756,286.046
352,05/22/17 04:00:00 AM,286.046,285.94899999999996,285.756,286.046
353,05/22/17 04:15:00 AM,286.046,285.94899999999996,285.756,286.07
354,05/22/17 04:30:00 AM,286.02099999999996,285.92499999999995,285.756,286.02099999999996
355,05/22/17 04:45:00 AM,286.02099999999996,285.92499999999995,285.756,286.046
356,05/22/17 05:00:00 AM,285.99699999999996,285.92499999999995,285.756,286.02099999999996
357,05/22/17 05:15:00 AM,285.99699999999996,285.92499999999995,285.756,286.02099999999996
358,05/22/17 05:30:00 AM,285.97299999999996,285.92499999999995,285.756,285.99699999999996
359,05/22/17 05:45:00 AM,285.94899999999996,285.92499999999995,285.756,285.99699999999996
360,05/22/17 06:00:00 AM,285.94899999999996,285.90099999999995,285.756,285.99699999999996
361,05/22/17 06:15:00 AM,285.92499999999995,285.90099999999995,285.756,285.99699999999996
362,05/22/17 06:30:00 AM,285.90099999999995,285.87699999999995,285.756,285.99699999999996
363,05/22/17 06:45:00 AM,285.87699999999995,285.87699999999995,285.756,285.99699999999996
