#,Date Heure(GMT+01:00),Tension(V),Températures(°C),Pression différentielle (m)
79,05/19/17 07:30:00,1.3427200000000001,285.92499999999995,0.9115114286846747
80,05/19/17 07:45:00,1.33845,285.893,0.9117347576688072
81,05/19/17 08:00:00,1.32853,285.876,0.9124517166554679
82,05/19/17 08:15:00,1.32349,285.846,0.9127421662266126
83,05/19/17 08:30:00,1.31666,285.80699999999996,0.9131414889348397
84,05/19/17 08:45:00,1.31369,285.81,0.9133840941042691
85,05/19/17 09:00:00,1.30877,285.81899999999996,0.9137999107625536
86,05/19/17 09:15:00,1.30144,285.786,0.9142590619189094
87,05/19/17 09:30:00,1.29614,285.751,0.9145525665356201
88,05/19/17 09:45:00,1.29175,285.745,0.9148751126179464
89,05/19/17 10:00:00,1.28893,285.75899999999996,0.9151439950617414
90,05/19/17 10:15:00,1.2909899999999999,285.789,0.9150865671880927
