"Date Heure, GMT+01:00",Flux d'énergie total (W/m2) pour la profondeur 6.6500 m,Flux d'énergie total (W/m2) pour la profondeur 6.6678 m,Flux d'énergie total (W/m2) pour la profondeur 6.6855 m,Flux d'énergie total (W/m2) pour la profondeur 6.7033 m,Flux d'énergie total (W/m2) pour la profondeur 6.7210 m,Flux d'énergie total (W/m2) pour la profondeur 6.7388 m,Flux d'énergie total (W/m2) pour la profondeur 6.7565 m,Flux d'énergie total (W/m2) pour la profondeur 6.7743 m,Flux d'énergie total (W/m2) pour la profondeur 6.7920 m,Flux d'énergie total (W/m2) pour la profondeur 6.8098 m,Flux d'énergie total (W/m2) pour la profondeur 6.8276 m,Flux d'énergie total (W/m2) pour la profondeur 6.8453 m,Flux d'énergie total (W/m2) pour la profondeur 6.8631 m,Flux d'énergie total (W/m2) pour la profondeur 6.8808 m,Flux d'énergie total (W/m2) pour la profondeur 6.8986 m,Flux d'énergie total (W/m2) pour la profondeur 6.9163 m,Flux d'énergie total (W/m2) pour la profondeur 6.9341 m,Flux d'énergie total (W/m2) pour la profondeur 6.9518 m,Flux d'énergie total (W/m2) pour la profondeur 6.9696 m,Flux d'énergie total (W/m2) pour la profondeur 6.9873 m,Flux d'énergie total (W/m2) pour la profondeur 7.0051 m,Flux d'énergie total (W/m2) pour la profondeur 7.0229 m,Flux d'énergie total (W/m2) pour la profondeur 7.0406 m,Flux d'énergie total (W/m2) pour la profondeur 7.0584 m,Flux d'énergie total (W/m2) pour la profondeur 7.0761 m,Flux d'énergie total (W/m2) pour la profondeur 7.0939 m,Flux d'énergie total (W/m2) pour la profondeur 7.1116 m,Flux d'énergie total (W/m2) pour la profondeur 7.1294 m,Flux d'énergie total (W/m2) pour la profondeur 7.1471 m,Flux d'énergie total (W/m2) pour la profondeur 7.1649 m,Flux d'énergie total (W/m2) pour la profondeur 7.1827 m,Flux d'énergie total (W/m2) pour la profondeur 7.2004 m,Flux d'énergie total (W/m2) pour la profondeur 7.2182 m,Flux d'énergie total (W/m2) pour la profondeur 7.2359 m,Flux d'énergie total (W/m2) pour la profondeur 7.2537 m,Flux d'énergie total (W/m2) pour la profondeur 7.2714 m,Flux d'énergie total (W/m2) pour la profondeur 7.2892 m,Flux d'énergie total (W/m2) pour la profondeur 7.3069 m,Flux d'énergie total (W/m2) pour la profondeur 7.3247 m,Flux d'énergie total (W/m2) pour la profondeur 7.3424 m,Flux d'énergie total (W/m2) pour la profondeur 7.3602 m,Flux d'énergie total (W/m2) pour la profondeur 7.3780 m,Flux d'énergie total (W/m2) pour la profondeur 7.3957 m,Flux d'énergie total (W/m2) pour la profondeur 7.4135 m,Flux d'énergie total (W/m2) pour la profondeur 7.4312 m,Flux d'énergie total (W/m2) pour la profondeur 7.4490 m,Flux d'énergie total (W/m2) pour la profondeur 7.4667 m,Flux d'énergie total (W/m2) pour la profondeur 7.4845 m,Flux d'énergie total (W/m2) pour la profondeur 7.5022 m,Flux d'énergie total (W/m2) pour la profondeur 7.5200 m
17/05/26 06:00:00,-1203735743.1244888,-1204694677.745841,-1203714328.341328,-1204714090.738462,-1203685975.2996073,-1204736951.9391363,-1203656472.9557514,-1204756747.890024,-1203628758.5558,-1204777182.3486152,-1203606152.759324,-1204800043.6777692,-1203576522.6686804,-1204821244.4997797,-1203548935.9010024,-1204846915.5292842,-1203516751.3717623,-1204876290.3190715,-1203480224.6024659,-1204904515.602832,-1203442165.1286747,-1204936700.0147648,-1203405766.2150948,-1204961349.111862,-1203374092.536147,-1204990340.756249,-1203337948.80053,-1205023419.3146987,-1203297335.0389662,-1205058924.419719,-1203254933.2050185,-1205099027.2667503,-1203212403.8030372,-1205136958.9825816,-1203167830.8015797,-1205179232.9719853,-1203124535.038972,-1205222273.397427,-1203076130.552788,-1205269783.8544018,-1203024022.384526,-1205317932.8051147,-1202972169.5925322,-1205369274.7188854,-1202917762.4820423,-1205423681.8070312,-1202861311.9368653,-1205480132.352208,-1202802817.9151063,-1205539399.3446808
17/05/26 06:15:00,-1203610196.283596,-1204613705.9118018,-1203581886.7322154,-1204635417.8047547,-1203546126.027484,-1204666580.423932,-1203514963.587061,-1204684971.5595577,-1203482779.1108882,-1204704639.794381,-1203452382.5646548,-1204729927.597487,-1203420964.535693,-1204749595.9663758,-1203385203.8784432,-1204776544.019666,-1203351103.6529248,-1204805152.446034,-1203315726.3310015,-1204832483.6475172,-1203282009.2564695,-1204861347.5786328,-1203243694.2918959,-1204896852.8149261,-1203197588.7479396,-1204934401.242912,-1203155825.6060357,-1204971438.943499,-1203112146.6505458,-1205011286.4310203,-1203065019.4115906,-1205051644.7157667,-1203017508.9266858,-1205096983.963336,-1202967955.0350242,-1205145005.2845683,-1202914697.3970447,-1205194814.53574,-1202862078.3729038,-1205244879.2497637,-1202808692.9797575,-1205298520.06666,-1202752114.7213092,-1205354076.6021786,-1202693365.2730072,-1205412315.177844,-1202632316.9104075,-1205474385.254994,-1202568075.6629548,-1205539389.0774841
17/05/26 06:30:00,-1203497164.3154602,-1204575007.986168,-1203466942.3719637,-1204592249.5403547,-1203441909.8920584,-1204615494.1545606,-1203403595.0978599,-1204637588.9331617,-1203369878.0400858,-1204660450.0695965,-1203337948.9234233,-1204687909.18545,-1203298612.4342256,-1204712685.9315786,-1203267066.4713426,-1204741805.2920303,-1203231050.5579247,-1204770158.356095,-1203190564.4314275,-1204804641.7996325,-1203145225.1950302,-1204840657.6320524,-1203104356.1326103,-1204873097.484493,-1203064764.0437014,-1204910518.461753,-1203017381.355859,-1204949216.4041448,-1202971148.1209757,-1204988808.3897114,-1202924659.3645864,-1205033381.3464801,-1202875871.8223794,-1205078209.7269988,-1202825168.4917238,-1205125464.6512952,-1202775359.142796,-1205176551.1943839,-1202720185.7442985,-1205230319.7105863,-1202662585.7629209,-1205285748.5021102,-1202604091.7188172,-1205345136.5279417,-1202543043.392527,-1205406695.74642,-1202478546.7017732,-1205471830.9867725,-1202411878.8602679,-1205539382.2457275
17/05/26 06:45:00,-1203417595.2689438,-1204539758.3719301,-1203386481.069811,-1204565301.8752964,-1203342035.7453158,-1204596975.235838,-1203307808.2059298,-1204611917.9036574,-1203278688.7924106,-1204633757.5769148,-1203239224.4614618,-1204658661.9748683,-1203210488.3776832,-1204682161.8899307,-1203174472.416784,-1204707066.6174622,-1203134113.997972,-1204738484.7385943,-1203095160.684898,-1204765943.6561422,-1203057867.4851494,-1204798383.7040954,-1203012911.2684658,-1204838231.1608934,-1202965911.7762983,-1204877184.4711745,-1202922999.1423326,-1204917798.2830129,-1202875360.9385703,-1204963520.7458086,-1202822614.2653978,-1205006433.3546367,-1202769356.5771437,-1205053432.818874,-1202718270.0731575,-1205104008.5312214,-1202660286.8961048,-1205158415.6277459,-1202599877.155723,-1205214738.420549,-1202539084.2699409,-1205272849.238254,-1202477908.208035,-1205334025.3308835,-1202412262.0503569,-1205399799.1543515,-1202344317.048207,-1205468127.3019013,-1202273945.4296603,-1205539376.2127686
17/05/26 07:00:00,-1203379918.152916,-1204522133.5662076,-1203348294.1341217,-1204540013.7063026,-1203321601.465479,-1204558404.970408,-1203288011.8751893,-1204588929.2159476,-1203249569.3677192,-1204618176.088572,-1203215980.0455613,-1204647295.4518166,-1203177792.9450827,-1204676286.962138,-1203141266.052893,-1204709748.7386067,-1203097076.2443175,-1204745509.0746577,-1203060294.1071322,-1204777182.7591913,-1203018914.1441448,-1204806940.5714855,-1202978938.8288379,-1204845255.4913707,-1202934365.9837904,-1204880760.5293584,-1202891070.18208,-1204918819.9584608,-1202845858.6812985,-1204957518.004195,-1202797070.9687161,-1205004262.1284733,-1202746239.9610987,-1205051644.841453,-1202692982.2505002,-1205104136.1914248,-1202637553.4924927,-1205155988.9638677,-1202579825.7056735,-1205213588.9647965,-1202519543.7064934,-1205271955.2704916,-1202456324.156833,-1205334791.616098,-1202391188.9276524,-1205399288.2928867,-1202323116.175922,-1205467871.8753586,-1202252489.1252463,-1205539375.2743073
17/05/26 07:15:00,-1203417593.5763626,-1204578456.3618038,-1203385459.4921193,-1204597102.926765,-1203352380.8526716,-1204623923.4678822,-1203311639.5873141,-1204643463.8525755,-1203278816.567129,-1204662621.4884791,-1203235648.3334522,-1204691102.0032701,-1203200143.3261878,-1204716900.8158717,-1203156975.1763022,-1204748191.1511135,-1203118404.8661838,-1204782163.7974262,-1203071916.1852064,-1204817668.835414,-1203026704.5922546,-1204858027.2235026,-1202976384.4293437,-1204899918.0702987,-1202927086.0312579,-1204941681.2010307,-1202878809.2667243,-1204987659.062439,-1202826956.6004171,-1205031082.5355248,-1202774592.896684,-1205079870.15873,-1202718270.087123,-1205129807.1566896,-1202661180.9700027,-1205181404.4299703,-1202604858.0822368,-1205237727.3400807,-1202542788.0134656,-1205296859.9058528,-1202479440.7700849,-1205359440.8500538,-1202412772.9313726,-1205424448.3687558,-1202344189.3293495,-1205492904.2323704,-1202273179.1276877,-1205564553.0115614,-1202199103.729307,-1205639753.375351
17/05/26 07:30:00,-1203547349.5339394,-1204789698.637446,-1203519561.183834,-1204816391.5909784,-1203478181.2431908,-1204840146.6756244,-1203441526.660074,-1204867222.444979,-1203406532.4584138,-1204894298.2171266,-1203373070.9556623,-1204916520.9715443,-1203332329.466862,-1204941680.9328995,-1203296313.5366862,-1204966841.1009388,-1203255571.966888,-1204998642.5015368,-1203210232.7137325,-1205032742.6600227,-1203166298.4350421,-1205064671.7152383,-1203120575.9471092,-1205102858.7933726,-1203076003.0210638,-1205141940.0124373,-1203026704.6425292,-1205179999.4108167,-1202976895.1986384,-1205226232.740663,-1202921849.5972033,-1205271444.2386518,-1202866292.9862728,-1205322275.2909577,-1202808054.3351955,-1205378853.5633712,-1202747261.4745507,-1205436070.4161067,-1202683914.2674794,-1205495075.229505,-1202620950.2030153,-1205556123.592105,-1202554154.5979643,-1205621897.44071,-1202483910.6787238,-1205691502.7433186,-1202411495.6003532,-1205764300.9670897,-1202336015.3252635,-1205840647.946106
17/05/26 07:45:00,-1203610189.2004585,-1204775649.9681125,-1203577927.4755635,-1204800043.767146,-1203544210.3395848,-1204828780.0464373,-1203502958.2239347,-1204849597.5889819,-1203469751.9522135,-1204874757.882708,-1203426073.080515,-1204898895.9898608,-1203392866.8786197,-1204924183.8655858,-1203355318.2132258,-1204955985.2633908,-1203313299.583332,-1204989829.9199216,-1203275878.8155499,-1205021886.8950934,-1203227346.5350966,-1205061989.781227,-1203176898.644949,-1205104136.0573592,-1203127600.2636213,-1205145388.3266263,-1203079195.827712,-1205188811.833229,-1203028747.9710808,-1205232746.240399,-1202974596.2452383,-1205281916.9754882,-1202918145.7894387,-1205329044.186513,-1202862461.507132,-1205379747.547892,-1202802945.66748,-1205437475.2369552,-1202742152.801249,-1205496097.0166745,-1202676506.6603293,-1205558550.2029152,-1202609455.6427002,-1205624834.8822622,-1202540488.926,-1205693035.3249197,-1202468584.6979218,-1205765067.243925,-1202393998.4352832,-1205840650.482193
17/05/26 08:00:00,-1203731526.3102112,-1204740400.392977,-1203696575.9117112,-1204755087.7627335,-1203660559.7525065,-1204780247.5900228,-1203635399.9056659,-1204795446.0223424,-1203600150.109881,-1204818051.6624084,-1203569625.9034438,-1204843722.7561524,-1203531566.5050647,-1204869904.44323,-1203498360.42327,-1204891743.9880075,-1203460683.9524345,-1204924183.9018953,-1203421475.2128174,-1204952409.1828628,-1203380861.4791842,-1204981783.7799306,-1203344717.7882552,-1205013202.0323353,-1203303976.3413506,-1205045641.946223,-1203261702.2318463,-1205082296.462307,-1203219172.7991416,-1205118184.7853467,-1203171662.2835133,-1205160458.8082666,-1203123896.4642358,-1205203243.7066169,-1203075364.3150551,-1205248072.0899284,-1203024788.6725335,-1205296604.2698326,-1202970764.7549257,-1205346158.088875,-1202917379.3925028,-1205397883.1508393,-1202861439.655723,-1205454206.0330193,-1202801029.8957899,-1205513338.5932055,-1202739598.4185133,-1205574770.073275,-1202675740.3052888,-1205639774.2225647
17/05/26 08:15:00,-1203923997.4469948,-1204863646.2275922,-1203896706.7193708,-1204890466.6290576,-1203868098.600237,-1204904515.5497644,-1203832465.538951,-1204931335.8199573,-1203801558.4468658,-1204949216.161151,-1203766436.3727312,-1204974248.4092345,-1203735912.4400115,-1204989829.785856,-1203704621.7863638,-1205015373.0965028,-1203668861.3274193,-1205039128.2453885,-1203634888.8263445,-1205064160.6889844,-1203596573.8226683,-1205097622.2699409,-1203559536.2756982,-1205125975.3312128,-1203518156.1060264,-1205161863.5844264,-1203474988.0259666,-1205200050.693284,-1203431564.6310854,-1205235172.6165948,-1203387885.6337001,-1205275020.1404254,-1203339098.0607696,-1205316527.8306494,-1203291715.3114805,-1205362122.5550363,-1203240245.7179546,-1205408611.182946,-1203189670.1089497,-1205457271.048191,-1203137051.0429134,-1205508102.1088762,-1203081366.7550206,-1205562764.6040134,-1203024788.5105376,-1205618704.2988977,-1202965528.1812196,-1205678092.3107638,-1202904352.1248996,-1205740164.657631
17/05/26 08:30:00,-1203965893.2262878,-1204793274.7542834,-1203935021.8319755,-1204806684.9633954,-1203903092.6678314,-1204826864.1295092,-1203869886.6670349,-1204838996.974085,-1203844981.8640914,-1204858920.8365498,-1203812925.1347065,-1204878716.7846444,-1203782784.157461,-1204897874.2194498,-1203751493.7160838,-1204917287.019351,-1203722118.9151242,-1204941553.0967345,-1203691594.8343737,-1204963137.1423504,-1203659665.784744,-1204986253.705328,-1203629780.1139405,-1205014479.1231542,-1203592231.5714402,-1205043598.346747,-1203556471.1795285,-1205067864.4325094,-1203519177.9295053,-1205099410.4037716,-1203477159.2660952,-1205134532.2851868,-1203436801.0176582,-1205168377.0506458,-1203396059.5009277,-1205206436.504886,-1203352252.7818918,-1205249476.863295,-1203306402.7398906,-1205291367.7575731,-1203259403.1751041,-1205335685.2291453,-1203212531.3291752,-1205382301.6764617,-1203161827.9705892,-1205432621.8393726,-1203109592.0583324,-1205484857.7432504,-1203055823.54213,-1205539410.4106903
