"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10759806, SEN S/N: 10759806)","Tension, V (LGR S/N: 10759806, SEN S/N: 10759806)"
03/11/16 05:00:00 PM,8.647,1.30011
03/11/16 05:15:00 PM,8.615,1.30156
03/11/16 05:30:00 PM,8.595,1.29145
03/11/16 05:45:00 PM,8.584,1.29629
03/11/16 06:00:00 PM,8.584,1.30549
03/11/16 06:15:00 PM,8.573,1.28653
03/11/16 06:30:00 PM,8.562,1.31147
03/11/16 06:45:00 PM,8.542,1.31014
03/11/16 07:00:00 PM,8.52,1.30308
03/11/16 07:15:00 PM,8.497,1.30316
03/11/16 07:30:00 PM,8.487,1.29255
03/11/16 07:45:00 PM,8.479,1.29953
03/11/16 08:00:00 PM,8.461,1.29614
03/11/16 08:15:00 PM,8.436,1.30137
03/11/16 08:30:00 PM,8.403,1.29301
03/11/16 08:45:00 PM,8.363,1.29923
03/11/16 09:00:00 PM,8.325,1.29362
03/11/16 09:15:00 PM,8.286,1.29118
03/11/16 09:30:00 PM,8.238,1.29728
03/11/16 09:45:00 PM,8.185,1.2882
03/11/16 10:00:00 PM,8.124,1.29351
03/11/16 10:15:00 PM,8.054,1.29717
03/11/16 10:30:00 PM,7.978,1.30034
03/11/16 10:45:00 PM,7.899,1.28843
03/11/16 11:00:00 PM,7.818,1.29755
03/11/16 11:15:00 PM,7.729,1.28084
03/11/16 11:30:00 PM,7.638,1.27775
03/11/16 11:45:00 PM,7.545,1.29385
03/12/16 12:00:00 AM,7.454,1.28908
03/12/16 12:15:00 AM,7.362,1.28943
03/12/16 12:30:00 AM,7.274,1.29438
03/12/16 12:45:00 AM,7.187,1.29942
03/12/16 01:00:00 AM,7.102,1.28847
03/12/16 01:15:00 AM,7.022,1.30922
03/12/16 01:30:00 AM,6.939,1.28927
03/12/16 01:45:00 AM,6.857,1.29305
03/12/16 02:00:00 AM,6.778,1.29309
03/12/16 02:15:00 AM,6.699,1.29805
03/12/16 02:30:00 AM,6.618,1.29221
03/12/16 02:45:00 AM,6.537,1.28985
03/12/16 03:00:00 AM,6.463,1.27913
03/12/16 03:15:00 AM,6.39,1.29057
03/12/16 03:30:00 AM,6.317,1.28141
03/12/16 03:45:00 AM,6.247,1.28676
03/12/16 04:00:00 AM,6.178,1.27844
03/12/16 04:15:00 AM,6.113,1.28653
03/12/16 04:30:00 AM,6.049,1.26783
03/12/16 04:45:00 AM,5.992,1.28634
03/12/16 05:00:00 AM,5.936,1.29511
03/12/16 05:15:00 AM,5.877,1.27321
03/12/16 05:30:00 AM,5.823,1.28511
03/12/16 05:45:00 AM,5.77,1.28389
03/12/16 06:00:00 AM,5.719,1.28412
03/12/16 06:15:00 AM,5.666,1.28977
03/12/16 06:30:00 AM,5.621,1.26596
03/12/16 06:45:00 AM,5.574,1.27382
03/12/16 07:00:00 AM,5.533,1.27607
03/12/16 07:15:00 AM,5.493,1.27829
03/12/16 07:30:00 AM,5.454,1.28599
03/12/16 07:45:00 AM,5.419,1.28157
03/12/16 08:00:00 AM,5.39,1.28748
03/12/16 08:15:00 AM,5.374,1.28161
03/12/16 08:30:00 AM,5.369,1.29263
03/12/16 08:45:00 AM,5.379,1.29355
03/12/16 09:00:00 AM,5.399,1.29194
03/12/16 09:15:00 AM,5.433,1.2879
03/12/16 09:30:00 AM,5.485,1.30411
